source,target,emd
Abbaye_de_Cluny (1).jpg,Belle_d_Orient (2).jpg,2.99167
Abbaye_de_Cluny (1).jpg,Ballerina (2).jpg,10.9213
Abbaye_de_Cluny (1).jpg,Allister_Stella_Gray (4).jpg,12.5043
Abbaye_de_Cluny (1).jpg,Alice (3).jpg,21.1329
Abbaye_de_Cluny (1).jpg,Alice (2).jpg,30.7597
Abraham_Darby.jpg,Michele_Meilland (13).jpg,4.92804
Abraham_Darby.jpg,Fox_Trot (1).jpg,7.36055
Abraham_Darby.jpg,Elle (1).jpg,8.94612
Abraham_Darby.jpg,Astronomia (1).jpg,9.65079
Abraham_Darby.jpg,Allister_Stella_Gray (6).jpg,18.4633
Adelaide_d_Orlean (1).jpg,Poustinia (7).jpg,9.52217
Adelaide_d_Orlean (1).jpg,Poustinia (14).jpg,10.3757
Adelaide_d_Orlean (1).jpg,Ballerinetta (2).jpg,15.9676
Adelaide_d_Orlean (1).jpg,Adelaide_d_Orlean (2).jpg,19.0654
Adelaide_d_Orlean (1).jpg,Abraham_Darby.jpg,74.1261
Adelaide_d_Orlean (2).jpg,Mme_Alfred_Carriere (5).jpg,16.5267
Adelaide_d_Orlean (2).jpg,Adelaide_d_Orlean (1).jpg,19.0653
Adelaide_d_Orlean (2).jpg,Abraham_Darby.jpg,81.0381
Adelaide_d_Orlean (2).jpg,Abbaye_de_Cluny (1).jpg,102.068
Adelaide_d_Orlean (3).jpg,Jacqueline_Du_Pre.jpg,6.40134
Adelaide_d_Orlean (3).jpg,Belle_de_Sardain (2).jpg,8.42487
Adelaide_d_Orlean (3).jpg,Allister_Stella_Gray (8).jpg,13.0647
Adelaide_d_Orlean (3).jpg,Allister_Stella_Gray (7).jpg,16.5115
Adelaide_d_Orlean (3).jpg,Allister_Stella_Gray (3).jpg,18.4871
Aimee_Vibert (1).jpg,Aimee_Vibert (3).jpg,4.98573
Aimee_Vibert (1).jpg,Aimee_Vibert (2).jpg,15.5994
Aimee_Vibert (1).jpg,Adelaide_d_Orlean (3).jpg,27.9214
Aimee_Vibert (1).jpg,Abraham_Darby.jpg,38.9848
Aimee_Vibert (1).jpg,Abbaye_de_Cluny (1).jpg,61.3048
Aimee_Vibert (2).jpg,Phyllis_Bide (1).jpg,5.00978
Aimee_Vibert (2).jpg,Clotilde_Soupert (5).jpg,7.12727
Aimee_Vibert (2).jpg,Allister_Stella_Gray (5).jpg,11.7099
Aimee_Vibert (2).jpg,Allister_Stella_Gray (3).jpg,12.6558
Aimee_Vibert (2).jpg,Allister_Stella_Gray (10).jpg,14.8875
Aimee_Vibert (3).jpg,Aimee_Vibert (1).jpg,4.98569
Aimee_Vibert (3).jpg,Adelaide_d_Orlean (3).jpg,26.5783
Aimee_Vibert (3).jpg,Abraham_Darby.jpg,39.1028
Aimee_Vibert (3).jpg,Abbaye_de_Cluny (1).jpg,59.3769
Alexendra_Princesse_de_Luxembourg (1).jpg,Salet (1).jpg,3.21724
Alexendra_Princesse_de_Luxembourg (1).jpg,Jardin_de_Valloires (5).jpg,3.67566
Alexendra_Princesse_de_Luxembourg (1).jpg,Bukavu (1).jpg,3.7517
Alexendra_Princesse_de_Luxembourg (1).jpg,Blush_Noistte (6).jpg,3.9666
Alexendra_Princesse_de_Luxembourg (1).jpg,Blush_Noistte (2).jpg,5.44073
Alexendra_Princesse_de_Luxembourg (2).jpg,Little_White_Pet (6).jpg,4.48431
Alexendra_Princesse_de_Luxembourg (2).jpg,Blush_Noistte (4).jpg,8.5677
Alexendra_Princesse_de_Luxembourg (2).jpg,Allister_Stella_Gray (3).jpg,10.4789
Alexendra_Princesse_de_Luxembourg (2).jpg,Allister_Stella_Gray (10).jpg,19.8198
Alexendra_Princesse_de_Luxembourg (2).jpg,Adelaide_d_Orlean (3).jpg,21.0258
Alice (1).jpg,Robin_Hood (10).jpg,3.71962
Alice (1).jpg,Lavender_Dream (8).jpg,4.15058
Alice (1).jpg,Lavender_Dream (6).jpg,4.79572
Alice (1).jpg,Heavenly_Pink.jpg,5.63007
Alice (1).jpg,Charles_de_Gaulle.jpg,5.73357
Alice (2).jpg,Mme_Ameilland (2).jpg,2.88404
Alice (2).jpg,La_Rosees (2).jpg,3.86016
Alice (2).jpg,Allister_Stella_Gray (6).jpg,3.88991
Alice (2).jpg,Allister_Stella_Gray (2).jpg,8.09852
Alice (2).jpg,Abraham_Darby.jpg,21.3231
Alice (3).jpg,Jubile_du_Prince_de_Monaco (3).jpg,1.69274
Alice (3).jpg,Imperatrice_Frah (2).jpg,5.74412
Alice (3).jpg,Cornelia (2).jpg,6.35726
Alice (3).jpg,Bouquet_Parfait (2).jpg,7.71066
Alice (3).jpg,Angela (2).jpg,8.12723
Alice (4).jpg,Lavender_Dream (7).jpg,1.46612
Alice (4).jpg,Durance.jpg,1.84944
Alice (4).jpg,Ballerina (5).jpg,2.52656
Alice (4).jpg,Aloha (6).jpg,3.35081
Alice (4).jpg,Aloha (1).jpg,6.07267
Alice (5).jpg,Robin_Hood (8).jpg,1.58375
Alice (5).jpg,Lavender_Dream (4).jpg,2.69935
Alice (5).jpg,Ballerina (4).jpg,5.64375
Alice (5).jpg,Alice (6).jpg,5.78864
Alice (5).jpg,Alice (4).jpg,9.25183
Alice (6).jpg,Lavender_Dream (1).jpg,1.51252
Alice (6).jpg,Guirlande_Rose (4).jpg,2.2075
Alice (6).jpg,Gertrude_Jekyll (1).jpg,3.64294
Alice (6).jpg,Charles_Rennie_Mac_Intosh (1).jpg,3.75909
Alice (6).jpg,Ballerina (4).jpg,4.2199
Allister_Stella_Gray (1).jpg,Jardins_de_Bagatelles (1).jpg,8.96392
Allister_Stella_Gray (1).jpg,Boule_de_Neige.jpg,10.6318
