source,target,emd
Abbaye_de_Cluny (1).jpg,Belle_d_Orient (2).jpg,0.181353
Abbaye_de_Cluny (1).jpg,Ballerina (2).jpg,0.339193
Abbaye_de_Cluny (1).jpg,Aspirine_Rose (2).jpg,0.416232
Abbaye_de_Cluny (1).jpg,Aspirine_Rose (1).jpg,0.49271
Abbaye_de_Cluny (1).jpg,Allister_Stella_Gray (2).jpg,0.499875
Abraham_Darby.jpg,Michele_Meilland (8).jpg,0.444462
Abraham_Darby.jpg,Michele_Meilland (13).jpg,0.459904
Abraham_Darby.jpg,Leonard_de_Vinci (7).jpg,0.496804
Abraham_Darby.jpg,Eglantyne (6).jpg,0.511644
Abraham_Darby.jpg,Astronomia (1).jpg,0.551632
Adelaide_d_Orlean (1).jpg,Sea_Foam (4).jpg,0.244629
Adelaide_d_Orlean (1).jpg,Poustinia (7).jpg,0.247337
Adelaide_d_Orlean (1).jpg,Little_White_Pet (3).jpg,0.428284
Adelaide_d_Orlean (1).jpg,Ballerinetta (2).jpg,0.457745
Adelaide_d_Orlean (1).jpg,Adelaide_d_Orlean (2).jpg,0.496657
Adelaide_d_Orlean (2).jpg,Mme_Alfred_Carriere (5).jpg,0.319698
Adelaide_d_Orlean (2).jpg,Blush_Noistte (3).jpg,0.43719
Adelaide_d_Orlean (2).jpg,Adelaide_d_Orlean (1).jpg,0.496657
Adelaide_d_Orlean (2).jpg,Abraham_Darby.jpg,1.55916
Adelaide_d_Orlean (2).jpg,Abbaye_de_Cluny (1).jpg,1.84959
Adelaide_d_Orlean (3).jpg,Palais_Royal (4).jpg,0.210161
Adelaide_d_Orlean (3).jpg,Jacqueline_Du_Pre.jpg,0.221732
Adelaide_d_Orlean (3).jpg,Allister_Stella_Gray (8).jpg,0.259839
Adelaide_d_Orlean (3).jpg,Allister_Stella_Gray (5).jpg,0.341346
Adelaide_d_Orlean (3).jpg,Allister_Stella_Gray (3).jpg,0.34768
Aimee_Vibert (1).jpg,Kosmos (2).jpg,0.181823
Aimee_Vibert (1).jpg,Francine_Austin (2).jpg,0.213638
Aimee_Vibert (1).jpg,Allister_Stella_Gray (5).jpg,0.252688
Aimee_Vibert (1).jpg,Aimee_Vibert (3).jpg,0.382454
Aimee_Vibert (1).jpg,Aimee_Vibert (2).jpg,0.413823
Aimee_Vibert (2).jpg,Francine_Austin (2).jpg,0.207696
Aimee_Vibert (2).jpg,Allister_Stella_Gray (8).jpg,0.337829
Aimee_Vibert (2).jpg,Allister_Stella_Gray (5).jpg,0.344213
Aimee_Vibert (2).jpg,Allister_Stella_Gray (1).jpg,0.37851
Aimee_Vibert (2).jpg,Aimee_Vibert (3).jpg,0.402441
Aimee_Vibert (3).jpg,Seagull (1).jpg,0.203319
Aimee_Vibert (3).jpg,Mme_Alfred_Carriere (1).jpg,0.264741
Aimee_Vibert (3).jpg,Marie_Pavie (1).jpg,0.276796
Aimee_Vibert (3).jpg,Kosmos (2).jpg,0.3566
Aimee_Vibert (3).jpg,Gruss_An_Aachen (1).jpg,0.37267
Alexendra_Princesse_de_Luxembourg (1).jpg,Bukavu (1).jpg,0.0586703
Alexendra_Princesse_de_Luxembourg (1).jpg,Ballerina (6).jpg,0.118534
Alexendra_Princesse_de_Luxembourg (1).jpg,Auguste_Renoir (2).jpg,0.1491
Alexendra_Princesse_de_Luxembourg (1).jpg,Allister_Stella_Gray (7).jpg,0.262861
Alexendra_Princesse_de_Luxembourg (1).jpg,Alice (5).jpg,0.367379
Alexendra_Princesse_de_Luxembourg (2).jpg,Little_White_Pet (6).jpg,0.095404
Alexendra_Princesse_de_Luxembourg (2).jpg,Blush_Noistte (4).jpg,0.170259
Alexendra_Princesse_de_Luxembourg (2).jpg,Allister_Stella_Gray (3).jpg,0.314177
Alexendra_Princesse_de_Luxembourg (2).jpg,Adelaide_d_Orlean (3).jpg,0.450722
Alexendra_Princesse_de_Luxembourg (2).jpg,Adelaide_d_Orlean (2).jpg,0.871694
Alice (1).jpg,Pierre_de_Ronsard (18).jpg,0.186897
Alice (1).jpg,Guirlande_Rose (7).jpg,0.238154
Alice (1).jpg,Guirlande_Rose (6).jpg,0.293283
Alice (1).jpg,Aloha (3).jpg,0.295689
Alice (1).jpg,Aloha (2).jpg,0.403177
Alice (2).jpg,Mme_Ameilland (2).jpg,0.0562008
Alice (2).jpg,Allister_Stella_Gray (6).jpg,0.0609986
Alice (2).jpg,Alice (3).jpg,0.370438
Alice (2).jpg,Alexendra_Princesse_de_Luxembourg (2).jpg,0.679185
